fecha,nubosidad,temperatura,viento,humedad,presion
Lunes 1 Enero 2018,Neblina,11°,En calma,87%,1026 hPa
Martes 2 Enero 2018,Neblina,10°,En calma,71%,1027 hPa
Miércoles 3 Enero 2018,Neblina,10°,En calma,87%,1025 hPa
Jueves 4 Enero 2018,Neblina,9°,7 km/h,33%,1025 hPa
Viernes 5 Enero 2018,Neblina,11°,En calma,87%,1025 hPa
Sábado 6 Enero 2018,Neblina,8°,11 km/h,51%,1028 hPa
Domingo 7 Enero 2018,Despejado,8°,En calma,81%,1025 hPa
Lunes 8 Enero 2018,Neblina,7°,En calma,37%,1025 hPa
Martes 9 Enero 2018,Neblina,6°,En calma,62%,1026 hPa
Miércoles 10 Enero 2018,Neblina,8°,En calma,81%,1023 hPa
Jueves 11 Enero 2018,Niebla espesa,12°,7 km/h,23%,1022 hPa
Viernes 12 Enero 2018,Despejado,4°,9 km/h,56%,1023 hPa
Sábado 13 Enero 2018,Neblina,3°,En calma,36%,1027 hPa
Domingo 14 Enero 2018,Despejado,6°,En calma,35%,1031 hPa
Lunes 15 Enero 2018,Parcialmente cubierto,3°,7 km/h,11%,1021 hPa
Martes 16 Enero 2018,Neblina,4°,6 km/h,46%,1026 hPa
Miércoles 17 Enero 2018,Parcialmente cubierto,14°,13 km/h,23%,1023 hPa
Jueves 18 Enero 2018,Despejado,8°,En calma,75%,1024 hPa
Viernes 19 Enero 2018,Mayormente cubierto,12°,13 km/h,40%,1023 hPa
Sábado 20 Enero 2018,Despejado,9°,En calma,87%,1023 hPa
Domingo 21 Enero 2018,Parcialmente cubierto,10°,33 km/h,8%,1020 hPa
Lunes 22 Enero 2018,Parcialmente cubierto,7°,En calma,65%,1021 hPa
Martes 23 Enero 2018,Mayormente cubierto,19°,22 km/h,23%,1018 hPa
Miércoles 24 Enero 2018,Neblina,11°,En calma,37%,1025 hPa
Jueves 25 Enero 2018,Cielo cubierto,13°,6 km/h,59%,1027 hPa
Viernes 26 Enero 2018,Neblina,11°,En calma,93%,1025 hPa
Sábado 27 Enero 2018,Parcialmente cubierto,12°,En calma,31%,1022 hPa
Domingo 28 Enero 2018,Despejado,9°,En calma,87%,1021 hPa
Lunes 29 Enero 2018,Cielo cubierto,12°,7 km/h,59%,1026 hPa
Martes 30 Enero 2018,Mayormente cubierto,10°,24 km/h,50%,1028 hPa
Miércoles 31 Enero 2018,Cielo cubierto,11°,En calma,35%,1025 hPa
