time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-07-21,22.0,15.3,28.1,,,328.0,3.7,,1012.0,
2018-07-22,22.9,16.7,29.8,,,75.0,3.9,,1011.4,
2018-07-23,23.2,17.5,30.3,,,341.0,4.3,,1010.5,
2018-07-24,23.7,18.3,31.4,,,291.0,4.9,,1011.3,
2018-07-25,23.0,15.3,30.2,,,314.0,4.7,,1013.1,
2018-07-26,22.5,17.9,28.9,,,299.0,4.5,,1012.4,
2018-07-27,21.7,16.1,30.1,,,157.0,4.0,,1012.8,
2018-07-28,20.7,15.9,27.5,,,110.0,3.8,,1014.1,
2018-07-29,20.7,14.6,28.2,,,338.0,3.8,,1014.4,
2018-07-30,22.3,16.9,29.4,,,332.0,4.5,,1011.4,
2018-07-31,22.3,17.5,29.2,,,319.0,4.3,,1010.9,
2018-08-01,21.8,16.1,28.1,,,18.0,4.0,,1012.0,
2018-08-02,21.8,16.9,27.6,,,41.0,4.1,,1011.2,
2018-08-03,22.3,16.4,28.6,,,50.0,3.8,,1010.2,
2018-08-04,22.4,16.7,29.4,,,138.0,4.0,,1009.4,
2018-08-05,21.1,16.7,26.4,,,103.0,3.7,,1010.3,
2018-08-06,20.5,16.8,26.7,,,100.0,3.8,,1011.4,
2018-08-07,20.2,16.8,25.9,,,119.0,3.4,,1012.2,
2018-08-08,20.7,16.8,26.3,,,,3.7,,1011.9,
2018-08-09,20.4,14.5,27.7,,,52.0,3.9,,1012.7,
2018-08-10,20.2,15.8,27.3,,,157.0,3.5,,1013.6,
2018-08-11,20.9,16.3,27.0,,,309.0,3.9,,1013.2,
2018-08-12,21.5,16.8,27.6,,,316.0,4.3,,1013.0,
2018-08-13,20.6,17.1,25.5,,,214.0,3.7,,1012.8,
2018-08-14,20.3,16.5,26.9,,,174.0,3.3,,1011.9,
2018-08-15,20.6,16.4,26.3,,,271.0,3.7,,1012.8,
2018-08-16,21.1,16.5,27.6,,,346.0,3.8,,1013.8,
2018-08-17,21.2,16.4,28.3,,,39.0,3.4,,1014.6,
2018-08-18,21.6,16.1,27.8,,,342.0,4.2,,1014.2,
2018-08-19,21.7,17.5,27.9,,,313.0,3.9,,1011.3,
2018-08-20,22.1,17.5,29.5,,,323.0,4.0,,1011.0,
2018-08-21,21.4,17.3,26.3,,,92.0,3.6,,1012.7,
2018-08-22,20.7,16.8,26.6,,,88.0,3.7,,1015.1,
2018-08-23,20.9,16.3,26.7,,,77.0,3.6,,1014.8,
2018-08-24,21.0,16.6,26.7,,,9.0,3.7,,1011.7,
2018-08-25,21.2,15.4,27.9,,,36.0,3.8,,1011.5,
2018-08-26,21.0,16.0,27.0,,,62.0,3.7,,1011.9,
2018-08-27,20.8,15.9,26.7,,,282.0,3.5,,1011.9,
2018-08-28,20.9,16.1,26.9,,,309.0,3.6,,1011.2,
2018-08-29,20.2,16.5,25.5,,,23.0,3.2,,1012.7,
2018-08-30,19.7,16.1,24.6,,,14.0,3.1,,1013.3,
2018-08-31,20.0,16.8,25.1,,,102.0,3.3,,1011.8,
2018-09-01,20.3,16.9,25.8,,,347.0,3.4,,1010.9,
2018-09-02,20.5,16.5,26.3,,,327.0,3.2,,1010.8,
2018-09-03,20.9,17.3,27.7,,,27.0,3.4,,1009.9,
2018-09-04,21.0,15.9,27.4,,,39.0,3.2,,1009.6,
2018-09-05,21.1,16.2,27.4,,,7.0,3.7,,1010.4,
2018-09-06,20.5,16.8,25.1,,,58.0,3.6,,1011.6,
2018-09-07,20.4,16.8,27.5,,,346.0,3.3,,1012.2,
2018-09-08,20.5,16.2,26.3,,,322.0,3.9,,1011.4,
2018-09-09,20.8,15.7,26.9,,,308.0,4.9,,1009.6,
2018-09-10,20.6,17.1,25.6,,,311.0,4.0,,1008.7,
2018-09-11,20.5,17.7,25.6,,,,3.0,,1009.1,
2018-09-12,20.7,16.4,26.3,,,350.0,3.3,,1009.8,
2018-09-13,20.7,17.7,25.1,,,354.0,3.2,,1008.7,
2018-09-14,20.9,17.2,26.9,,,122.0,3.0,,1008.8,
2018-09-15,20.8,17.1,26.5,,,65.0,2.9,,1009.4,
2018-09-16,20.0,17.2,24.9,,,349.0,3.0,,1010.1,
2018-09-17,20.1,16.7,24.9,,,,2.7,,1011.1,
2018-09-18,19.9,16.0,25.1,,,29.0,3.3,,1011.3,
2018-09-19,20.3,16.3,27.1,,,,2.8,,1010.9,
2018-09-20,21.1,16.5,27.3,,,338.0,3.5,,1010.9,
2018-09-21,22.0,17.1,28.7,,,14.0,3.6,,1009.7,
2018-09-22,22.0,18.1,28.9,,,39.0,3.7,,1009.0,
2018-09-23,21.2,16.4,26.5,,,93.0,3.6,,1009.5,
2018-09-24,21.1,16.9,26.9,,,354.0,3.2,,1009.4,
2018-09-25,21.3,16.4,26.5,,,1.0,3.5,,1009.7,
2018-09-26,20.9,16.3,26.2,,,33.0,3.6,,1010.3,
2018-09-27,20.4,16.3,26.4,,,343.0,3.8,,1010.4,
2018-09-28,20.4,16.4,26.2,,,25.0,3.0,,1010.8,
2018-09-29,20.2,16.3,24.2,,,20.0,3.0,,1011.6,
2018-09-30,20.5,16.4,26.5,,,39.0,3.1,,1011.7,
2018-10-01,20.9,17.3,26.8,,,38.0,3.2,,1011.8,
2018-10-02,20.8,16.3,26.9,,,82.0,3.6,,1012.1,
2018-10-03,20.7,15.6,25.9,,,47.0,3.3,,1011.0,
