ciudad,current,real_feal,air_quality,pollen,uv_index,precipitation,timestamp
"Guadalajara, Jalisco, Mexico Weather Conditions",70 °F,68°,51,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 20:33:18
"Guadalajara, Jalisco, Mexico Weather Conditions",70 °F,68°,51,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 20:35:44
"Guadalajara, Jalisco, Mexico Weather Conditions",70 °F,68°,51,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 20:38:03
"Guadalajara, Jalisco, Mexico Weather Conditions",70 °F,68°,51,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 20:40:23
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:41:05
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:43:25
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:45:42
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:48:00
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:50:19
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:52:37
"Guadalajara, Jalisco, Mexico Weather Conditions",65 °F,65°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 22:55:00
"Guadalajara, Jalisco, Mexico Weather Conditions",64 °F,64°,52,HIGH,0,Expect dry conditions for the next 6 hours.,2024-03-07 23:06:30
"Zapopan, Jalisco, Mexico Weather Conditions",65 °F,65°,52,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 23:06:50
"Tlaquepaque, Jalisco, Mexico Weather Conditions",66 °F,66°,53,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 23:07:08
"Tonalá, Jalisco, Mexico Weather Conditions",64 °F,64°,53,moderate,0,Expect dry conditions for the next 6 hours.,2024-03-07 23:07:29
